3333,PRACTICAL_PARTICIPATION,1.0,2024-03-23,Ad. Design
10001,Assessment.PROJECTS,2.0,2024-03-16,N/A
10001,VIOLATION,1.0,2024-04-26,n/a
10001,THEORETICAL_PARTICIPATION,0.25,2024-05-03,Testing
10001,PROJECTS,5.0,2024-05-03,Excellent project
10001,VIOLATION,1.5,2024-06-18,n/a
10001,VIOLATION,-0.5,2024-09-07,n/a
10001,VIOLATION,3.0,2024-06-18,testing
10001,THEORETICAL_PARTICIPATION,0.25,2024-09-20,n/a
10001,PRACTICAL_QUIZ,2.5,2024-04-27,n/a
10001,THEORETICAL_PARTICIPATION,2.0,2024-06-18,n/a
3333,PRACTICAL_PARTICIPATION,1.0,2024-03-23,Ad. Design
10001,PROJECTS,1.0,2024-03-23,Ad. Design
